"id","dia_del_ano_id","nombre","nombre_archivo","personaje_id","hecho_id","tema_id"
1,4,Santa Isabel Bayley Setton,Anne-Setton.jpg,1,,
2,31,Don Bosco,Don-Bosco.jpg,1,,
3,42,Nuestra Señora de Lourdes,Nuestra-madre-en-Lourdes.jpg,,1,
4,42,Nuestra Señora de Lourdes,Nuestra-madre-en-Lourdes'.jpg,,1,
5,51,Santos Francisco y Jacinta Marto,Pastorcitos-de-Fatima.jpg,1,,
6,54,San Policarpo de Esmirna,Policarpo-de-Esmirna.jpg,1,,
7,84,Monseñor Oscar Arnulfo Romero,Oscar-Romero.jpg,1,,
8,98,San Juan Bautista de la Salle,Juan-Bautista-de-la-Salle.jpg,1,,
9,132,Beato Mamerto Esquiú,Mamerto-Esquiu.jpg,1,,
10,134,Nuestra Señora de Fátima,Nuestra-madre-en-Fátima.jpg,,1,
11,136,San Isidro Labrador,Isidro-Labrador.jpg,1,,
12,143,Santa Rita de Cascia,Rita-de-Casia.jpg,1,,
14,147,San Felipe Neri,Felipe-Neri.jpg,1,,
15,181,Santos Pedro y Pablo,Pedro-y-Pablo.jpg,1,,
16,194,Santos Luis y Celia Martín,Celia-y-Luis-Martín.jpg,1,,
17,195,Santa Teresa de Los Andes,Teresa-de-los-Andes.jpg,1,,
18,213,San Ignacio de Loyola,Ignacio-de-Loyola.jpg,1,,
19,231,San Alberto Hurtado,Alberto-Hurtado.jpg,1,,
20,240,Santa Mónica,Monica-y-su-hijo-Agustin.jpg,1,,
21,241,San Agustín de Hipona,Agustin-de-Hipona,1,,
22,243,Santa Rosa de Lima,Rosa-de-Lima.jpg,1,,
23,249,Madre Teresa (de Calcuta),Madre-Teresa.jpg,1,,
24,262,San José de Cupertino,Jose-Cupertino.jpg,1,,
26,267,Padre Pío (san Pio de Pietrelcina),Padre-Pío.jpg,1,,
27,271,San Vicente de Paul,Vicente-de-Paul.jpg,1,,
28,275,Santa Teresita del Niño Jesús,Teresita-de-Lisieux.jpg,1,,
29,279,Santa Faustina Kowalska,Faustina-Kowalska.jpg,1,,
30,279,Santa Faustina Kowalska,Faustina-Kowalska'.jpg,1,,
31,285,San Juan XXIII,Juan-XXIII.jpg,1,,
32,296,Papa Juan Pablo II,Juan-Pablo-II.jpg,1,,
33,296,Papa Juan Pablo II,Juan-Pablo-II'.jpg,1,,
34,298,San Antonio Ma. Claret,Antonio-Claret.jpg,1,,
35,308,San Martín de Porres,Martin-de-Porres.jpg,1,,
36,316,San Martín de Tours,Martin-Tours.jpg,1,,
37,330,Beatos Luis y María Beltrame Quattrocchi,Beltrame-Quattrocchi.jpg,1,,
44,332,Nuestra Señora de la Medalla Milagrosa,Nuestra-madre-Medalla-Milagrosa.jpg,,1,
45,344,San Juan Diego,Juan Diego.jpg,1,,
46,347,Nuestra Señora de Guadalupe,Nuestra-madre-en-Guadalupe.jpg,,1,
48,360,Navidad,Navidad.jpg,,1,
49,360,Navidad,Navidad'.jpg,,1,
50,24,San Francisco de Sales,Francisco-de-Sales.jpg,1,,
51,49,Santa Bernardita Soubirous,Bernadette.jpg,1,,
52,49,Santa Bernardita Soubirous,Bernadette'.jpg,1,,
53,67,Mamá Antula,Mama-Antula.jpg,1,,
54,67,Mamá Antula,Mama-Antula'.jpg,1,,
55,76,Cura Brochero,Cura-Brochero.jpg,1,,
56,76,Cura Brochero,Cura-Brochero'.jpg,1,,
57,75,Don Artémides Zatti,Artemides-Zatti.jpg,1,,
58,131,Damián de Veuster,Damian-de-Veuster.jpg,1,,
59,228,Asunción de María,Asuncion-de-Maria.jpg,,1,
60,103,San José Moscati,José-Moscati.jpg,1,,
