"id","dia_del_ano_id","nombre","nombre_archivo","cuando","personaje_id","hecho_id","tema_id"
1,98,Viernes Santo,Sem. Santa 6-viernes.jpg,-,,13,
2,150,María madre de la Iglesia,Madre-de-la-Iglesia.jpg,Lunes siguiente a Pentecostés,12,,
3,139,Ascensión del Señor,Ascension.jpg,"39 dias despues de Resurreccion",,,
4,8,Bautismo de nuestro Señor,Bautismo-del-Señor.jpg,Domingo posterior al 6 de enero,,,
5,160,Corpus Christi,Corpus-Christi.jpg,"60 días después del Domingo de Resurrección",,,
6,156,Santísima Trinidad,Santisima-Trinidad.jpg,Domingo siguiente a Pentecostés,,,
7,93,Domingo de Ramos,Sem. Santa 1-dom.-Ramos.jpg,-,,12,
8,100,Domingo de Resurrección,Sem. Santa 8-domingo.jpg,-,,14,
9,53,Miércoles de Cenizas,Miercoles-ceniza.jpg,"40 días antes del Domingo de Ramos",11,,
10,149,Pentecostés,Pentecostes.jpg,"49 días después del domingo de Resurrección",,15,
11,168,Sagrado Corazón de Jesús,Sagrado-Corazón-de-Jesús.jpg,"8 días después de Corpus Christi",,,
12,169,Inmaculado Corazón de María,Inmac-Corazón-de-María.jpg,Día posterior al Sagrado Corazón de Jesús,,12,
13,366,Sagrada Familia,Sagrada-Familia.jpg,Domingo después de Navidad,14,,
15,96,Miércoles Santo,Sem. Santa 4-miercoles.jpg,-,,,
16,95,Martes Santo,Sem. Santa 3-martes.jpg,-,,,
17,94,Lunes Santo,Sem. Santa 2-lunes.jpg,-,,,
18,97,Jueves Santo,Sem. Santa 5-jueves.jpg,-,,,
19,97,Jueves Santo,Sem. Santa 5-jueves'.jpg,-,,,
20,97,Jueves Santo,Sem. Santa 5-jueves''.jpg,-,,,
21,100,Domingo de Resurrección,Sem. Santa 8-domingo'.jpg,-,,14,
