"id","nombre","dia_del_ano_id","nombre_archivo","cuando","personaje_id","hecho_id","tema_id"
1,Viernes Santo,98,Sem. Santa 6-viernes.jpg,-,,13,
2,María madre de la Iglesia,150,Madre-de-la-Iglesia.jpg,Lunes siguiente a Pentecostés,12,,
3,Ascensión del Señor,139,Ascension.jpg,"39 dias despues de Resurreccion",,,
4,Bautismo de nuestro Señor,8,Bautismo-del-Señor.jpg,Domingo posterior al 6 de enero,,,
5,Corpus Christi,160,Corpus-Christi.jpg,"60 días después del Domingo de Resurrección",,,
6,Santísima Trinidad,156,Santisima-Trinidad.jpg,Domingo siguiente a Pentecostés,,,
7,Domingo de Ramos,93,Sem. Santa 1-dom.-Ramos.jpg,-,,12,
8,Domingo de Resurrección,100,Sem. Santa 8-domingo.jpg,-,,14,
9,Miércoles de Cenizas,53,Miercoles-ceniza.jpg,"40 días antes del Domingo de Ramos",11,,
10,Pentecostés,149,Pentecostes.jpg,"49 días después del domingo de Resurrección",,15,
11,Sagrado Corazón de Jesús,168,Sagrado-Corazón-de-Jesús.jpg,"8 días después de Corpus Christi",,,
12,Inmaculado Corazón de María,169,Inmac-Corazón-de-María.jpg,Día posterior al Sagrado Corazón de Jesús,,12,
13,Sagrada Familia,366,Sagrada-Familia.jpg,Domingo después de Navidad,14,,
15,Miércoles Santo,96,Sem. Santa 4-miercoles.jpg,-,,,
16,Martes Santo,95,Sem. Santa 3-martes.jpg,-,,,
17,Lunes Santo,94,Sem. Santa 2-lunes.jpg,-,,,
18,Jueves Santo,97,Sem. Santa 5-jueves.jpg,-,,,
19,Jueves Santo,97,Sem. Santa 5-jueves'.jpg,-,,,
20,Jueves Santo,97,Sem. Santa 5-jueves''.jpg,-,,,
21,Domingo de Resurrección,100,Sem. Santa 8-domingo'.jpg,-,,14,
